#{"t_start": 1641332267.081127, "env_id": null}
r,l,t
-656.218787,46,1485.150013
-677.758275,58,1485.31154
-647.856309,53,1485.419824
-663.893586,43,1485.467871
-684.350838,53,1485.526387
-669.588377,46,1485.584363
-638.558418,46,1485.654171
-668.853556,44,1485.699809
-654.054464,40,1485.73529
-676.597258,48,1485.776724
-678.359915,47,1485.816613
-656.633005,40,1485.852037
-599.019016,53,1485.900392
-664.641282,46,1485.953525
-662.773277,44,1486.008128
-655.60288,46,1486.053379
-662.868648,46,1486.094213
-655.818667,43,1486.131226
-668.353593,45,1486.177229
-663.639365,47,1486.226328
-634.33947,44,1486.272214
-652.861433,44,1525.495592
-612.493198,33,1525.527638
-616.977427,37,1525.559784
-627.970822,37,1525.596105
-610.21747,33,1525.627424
-610.323554,31,1525.655832
-616.325534,33,1525.684007
-612.097853,32,1525.71364
-612.747809,33,1525.747708
-624.020741,37,1525.783826
-614.925685,34,1525.815342
-614.325627,33,1525.848048
-612.63671,32,1525.876008
-599.421665,36,1525.910697
-607.205415,37,1525.948706
-616.766347,35,1525.979855
-616.272998,34,1526.009553
-613.554003,34,1526.039173
-613.478439,34,1526.068523
-608.659022,35,1526.100803
-610.736793,32,1526.128593
-615.595295,32,1526.177346
-618.683654,32,1526.226332
-608.009688,32,1526.28636
-608.216545,31,1526.342113
-613.112437,33,1526.402315
-606.028677,29,1526.4599
-606.270688,32,1526.531934
-608.554023,33,1526.606833
-598.981263,40,1526.690243
-628.278884,39,1565.71604
-595.132001,38,1565.785826
-591.111032,38,1565.83778
-541.592174,71,1565.909314
-591.600467,37,1565.960362
-585.279306,41,1565.999624
-611.937604,38,1566.034626
-495.317801,83,1566.117278
-366.053114,87,1566.19529
-594.634637,43,1566.335872
-590.715611,39,1566.439246
-591.21165,36,1566.518447
-611.765262,38,1566.604148
-551.740598,78,1566.742504
-612.974263,36,1566.807471
-609.009593,38,1566.855167
-603.672658,36,1566.8929
-590.084947,38,1566.940822
-626.902208,37,1566.981366
-599.130892,39,1567.021595
-612.064254,38,1567.071937
-529.014496,76,1596.439251
-609.653047,45,1596.501393
-650.53208,45,1596.559878
-632.303196,42,1596.619279
-604.852001,46,1596.686256
-655.925054,45,1596.753569
-648.659466,44,1596.8138
-627.578439,47,1596.874035
-677.168129,48,1596.937621
-643.438374,42,1596.989867
-650.208835,40,1597.042179
-552.976368,47,1597.100484
-618.478909,46,1597.164766
-642.9963,39,1597.207941
-648.346454,42,1597.252768
-651.06675,40,1597.296417
-590.228027,46,1597.345438
-600.12913,49,1597.397941
-627.169743,47,1597.449025
-660.77962,44,1597.58485
-634.1412,47,1597.656647
-576.651268,46,1597.711996
-643.023492,44,1622.916106
-611.354633,41,1622.982184
-611.943845,39,1623.042102
-581.45527,41,1623.098126
-583.284804,42,1623.168035
-562.670686,44,1623.22463
-631.952607,39,1623.275282
-587.560481,43,1623.320651
-592.375003,42,1623.366709
-546.226562,41,1623.411258
-568.045157,44,1623.459236
-600.690201,39,1623.5003
-560.419034,42,1623.545021
-589.077377,42,1623.587546
-595.157017,38,1623.628604
-567.214182,42,1623.673075
-635.506021,38,1623.712876
-537.109337,46,1623.758281
-641.961554,39,1623.800961
-542.552392,42,1623.843563
-553.026281,42,1623.887227
-540.341367,44,1623.944545
-498.229262,44,1623.998319
-468.649811,45,1624.051479
-578.977482,52,1648.866933
-670.314295,47,1648.919672
-611.489237,50,1648.97695
-569.579316,51,1649.028394
-661.419255,43,1649.072388
-669.402606,45,1649.119823
-655.777763,45,1649.162887
-657.523661,44,1649.211953
-659.324881,46,1649.259991
-659.495289,43,1649.304031
-652.081115,43,1649.358767
-661.484661,43,1649.402829
-547.081795,55,1649.457922
-659.152927,52,1649.510216
-616.532435,49,1649.55986
-660.576006,45,1649.606126
-666.480844,48,1649.652829
-683.863331,47,1649.700472
